player_id,team_id,name,position,date_of_birth,nationality
3222,65,Ederson,Goalkeeper,1993-08-17,Brazil
4172,65,Scott Carson,Goalkeeper,1985-09-03,England
6958,65,Stefan Ortega Moreno,Goalkeeper,1992-11-06,Germany
244993,65,True Grant,Goalkeeper,2005-11-02,England
143,65,Manuel Akanji,Defence,1995-07-19,Switzerland
164,65,Sergio Gómez,Defence,2000-09-04,Spain
3311,65,Kyle Walker,Defence,1990-05-28,England
3313,65,John Stones,Defence,1994-05-28,England
8240,65,Nathan Aké,Defence,1995-02-18,Netherlands
10183,65,Rúben Dias,Defence,1997-05-14,Portugal
122266,65,Joško Gvardiol,Defence,2002-01-23,Croatia
244856,65,Max Alleyne,Defence,2005-07-21,England
65,65,Mateo Kovačić,Midfield,1994-05-06,Croatia
3199,65,Rodri,Midfield,1996-06-22,Spain
3254,65,Bernardo Silva,Midfield,1994-08-10,Portugal
3654,65,Kevin De Bruyne,Midfield,1991-06-28,Belgium
3895,65,Jack Grealish,Midfield,1995-09-10,England
7888,65,Phil Foden,Midfield,2000-05-28,England
91512,65,Matheus Nunes,Midfield,1998-08-27,Portugal
179716,65,Oscar Bobb,Midfield,2003-07-12,Norway
221259,65,Micah Hamilton,Midfield,2003-11-13,England
244846,65,Mahamadou Susoho,Midfield,2005-01-20,Spain
245445,65,Jacob Wright,Midfield,2005-09-21,England
38101,65,Erling Haaland,Offence,2000-07-21,Norway
98571,65,Julián Álvarez,Offence,2000-01-31,Argentina
99775,65,Jeremy Doku,Offence,2002-05-27,Belgium
4832,57,David Raya,Goalkeeper,1995-09-15,Spain
5530,57,Aaron Ramsdale,Goalkeeper,1998-05-14,England
153843,57,Karl Jakob Hein,Goalkeeper,2002-04-13,Estonia
3244,57,Cédric,Defence,1991-08-31,Portugal
6154,57,Ben White,Defence,1997-10-08,England
7889,57,Oleksandr Zinchenko,Defence,1996-12-15,Ukraine
9034,57,Takehiro Tomiyasu,Defence,1998-11-05,Japan
23128,57,Gabriel,Defence,1997-12-19,Brazil
80171,57,William Saliba,Defence,2001-03-24,France
98816,57,Jurrien Timber,Defence,2001-06-17,Netherlands
147286,57,Jakub Kiwior,Defence,2000-02-15,Poland
204501,57,Reuell Walters,Defence,2004-12-16,England
247644,57,Ayden Heaven,Defence,2006-09-22,England
110,57,Thomas Partey,Midfield,1993-06-13,Ghana
171,57,Kai Havertz,Midfield,1999-06-11,Germany
2094,57,Jorginho,Midfield,1991-12-20,Italy
7427,57,Martin Ødegaard,Midfield,1998-12-17,Norway
8215,57,Declan Rice,Midfield,1999-01-14,England
8984,57,Leandro Trossard,Midfield,1994-12-04,Belgium
85570,57,Emile Smith Rowe,Midfield,2000-07-28,England
112948,57,Fabio Vieira,Midfield,2000-05-30,Portugal
179669,57,Mohamed Elneny,Midfield,1992-07-11,Egypt
204461,57,Mauro Bandeira,Midfield,2004-04-19,Portugal
204503,57,Amario Cozier-Duberry,Midfield,2005-05-29,England
221250,57,James Sweet,Midfield,2003-11-03,Wales
244120,57,Myles Lewis-Skelly,Midfield,2006-09-26,England
3236,57,Gabriel Jesus,Offence,1997-04-03,Brazil
7799,57,Reiss Nelson,Offence,1999-12-10,England
7800,57,Eddie Nketiah,Offence,1999-05-30,England
61450,57,Martinelli,Offence,2001-06-18,Brazil
99813,57,Bukayo Saka,Offence,2001-09-05,England
188476,57,Ethan Nwaneri,Offence,2007-03-21,England
1795,64,Alisson,Goalkeeper,1992-10-02,Brazil
8197,64,Adrián,Goalkeeper,1987-01-03,Spain
102046,64,Caoimhin Kelleher,Goalkeeper,1998-11-23,Ireland
221770,64,Fabian Mrozek,Goalkeeper,2003-09-28,Poland
3269,64,Wataru Endō,Defence,1993-02-09,Japan
7383,64,Kostas Tsimikas,Defence,1996-05-12,Greece
7862,64,Joe Gomez,Defence,1997-05-23,England
7865,64,Joël Matip,Defence,1991-08-08,Cameroon
7867,64,Trent Alexander-Arnold,Defence,1998-10-07,England
7868,64,Andrew Robertson,Defence,1994-03-11,Scotland
7869,64,Virgil van Dijk,Defence,1991-07-08,Netherlands
9542,64,Ibrahima Konaté,Defence,1999-05-25,France
135636,64,Rhys Williams,Defence,2001-02-03,England
175865,64,Conor Bradley,Defence,2003-07-09,Northern Ireland
176718,64,Jarell Quansah,Defence,2003-01-29,England
186701,64,Stefan Bajcetic,Defence,2004-10-22,Spain
226978,64,Calum Scanlon,Defence,2005-02-14,England
248990,64,Amara Nallo,Defence,2006-11-18,England
356,64,Thiago Alcântara,Midfield,1991-04-11,Spain
7873,64,Curtis Jones,Midfield,2001-01-30,England
16347,64,Dominik Szoboszlai,Midfield,2000-10-25,Hungary
45681,64,Alexis Mac Allister,Midfield,1998-12-24,Argentina
81793,64,Ryan Gravenberch,Midfield,2002-05-16,Netherlands
186708,64,Bobby Clark,Midfield,2005-02-07,England
214502,64,James McConnell,Midfield,2004-09-13,England
230517,64,Trey Nyoni,Midfield,2007-06-30,England
244935,64,Tom Hill,Midfield,2002-10-13,England
3754,64,Mohamed Salah,Offence,1992-06-15,Egypt
4092,64,Diogo Jota,Offence,1996-12-04,Portugal
7459,64,Cody Gakpo,Offence,1999-05-07,Netherlands
22396,64,Luis Díaz,Offence,1997-01-13,Colombia
28612,64,Darwin Núñez,Offence,1999-06-24,Uruguay
124824,64,Harvey Elliott,Offence,2003-04-04,England
157176,64,Kaide Gordon,Offence,2004-10-05,England
176789,64,Ben Doak,Offence,2005-11-11,Scotland
244989,64,Lewis Koumas,Offence,2005-09-19,Wales
