stadium_id,name,location,capacity
81,Stadium Municipal,"1 allée Gabriel Biénèsm, BP 54023 Toulouse 31028",
82,Stade Francis-Le Blé,"Port de Plaisance, 470 bis rue Alain Colas Brest 29200",
83,Orange Vélodrome,"La Commanderie, 33, traverse de La Martine Marseille 13012",
21,Emirates Stadium,"London, UK",60704.0
22,Villa Park,"Birmingham, UK",42640.0
23,Stamford Bridge,"London, UK",40834.0
24,Goodison Park,"Liverpool, UK",39571.0
25,Craven Cottage,"London, UK",25700.0
26,Anfield,"Liverpool, UK",54074.0
27,Etihad Stadium,"Manchester, UK",55097.0
28,Old Trafford,"Manchester, UK",74879.0
29,St. James' Park,"Newcastle upon Tyne, UK",52305.0
30,Tottenham Hotspur Stadium,"London, UK",62062.0
31,Molineux Stadium,"Wolverhampton, UK",32050.0
32,Turf Moor,"Burnley, UK",21944.0
33,The City Ground,"Nottingham, UK",30445.0
34,Selhurst Park,"London, UK",25456.0
35,Bramall Lane,"Sheffield, UK",32702.0
36,Kenilworth Road Stadium,"Luton, UK",10356.0
37,The American Express Community Stadium,"Brighton & Hove, UK",30750.0
38,Griffin Park,"Brentford, UK",12763.0
39,London Stadium,"London, UK",60000.0
40,Vitality Stadium,"Bournemouth, UK",11329.0
101,RheinEnergieSTADION,Franz-Kremer-Allee 1 Köln 50937,
102,PreZero Arena,Horrenberger Straße 58 Zuzenhausen 74939,
103,BayArena,Bismarckstr. 122-124 Leverkusen 51373,
104,Signal Iduna Park,Rheinlanddamm 207-209 Dortmund 44137,
105,Allianz Arena,Säbenerstr. 51 München 81547,
106,Mercedes-Benz Arena,Mercedesstraße 109 Stuttgart 70372,
107,Volkswagen Arena,In den Allerwiesen 1 Wolfsburg 38446,
108,Weserstadion,Franz-Böhmert-Str. 1c Bremen 28205,
109,Opel Arena,Dr.-Martin-Luther-King-Weg 20 Mainz 55122,
110,WWK Arena,Donauwörther Straße 170 Augsburg 86154,
111,Schwarzwald-Stadion,Schwarzwaldstraße 193 Freiburg 79117,
112,Stadion im Borussia-Park,Hennes-Weisweiler-Allee 1 Mönchengladbach 41179,
113,Deutsche Bank Park,Mörfelder Landstraße 362 Frankfurt am Main 60528,
114,Stadion An der Alten Försterei,An der Wuhlheide 263 Berlin 12555,
115,Vonovia Ruhrstadion,Castroper Straße 145 Bochum 44791,
116,Voith-Arena,Schloßhaustraße 162 Heidenheim 89522,
117,Merck-Stadion am Böllenfalltor,Nieder-Ramstädter-Straße 170 Darmstadt 64285,
118,Red Bull Arena,Neumarkt 29-33 Leipzig 04109,
41,Stadio Giuseppe Meazza,Via Filippo Turati 3 Milano 20121,
42,Stadio Artemio Franchi,Viale Manfredo Fanti 4 Firenze 50137,
43,Stadio Olimpico,"Via di Trigoria km. 3,600 Roma 00128",
44,Stadio Atleti Azzurri d'Italia,"Corso Europa, 46, Zingonia Ciserano 24040",
45,Stadio Renato Dall'Ara,Via Casteldebole 10 Bologna 40132,
46,Sardegna Arena,Viale la Plaia 15 Cagliari 09123,
47,Stadio Comunale Luigi Ferraris,"Via Ronchi, 67 Genova 16155",
48,Allianz Stadium,"Corso Galileo Ferraris, 32 Torino 10128",
49,Stadio San Paolo,"Centro Tecnico di Castel Volturno, Via S.S. Domitana, Km 35 Castel Volturno 81030",
50,Dacia Arena,Via Agostino e Angelo Candolini 2 Udine 33100,
51,Stadio Carlo Castellani,Piazza Matteotti Empoli 50053,
52,Stadio Marc'Antonio Bentegodi,"Via Evangelista Torricelli, 37 Verona 37136",
53,Stadio Arechi,"Via San Leonardo, 51 Salerno 84131",
54,Stadio Benito Stirpe,"Via Marittima, 2 Frosinone 03100",
