standing_id,season_id,league_id,position,team_id,played_games,won,draw,lost,points,goals_for,goals_against,goal_difference,form
21,4,4,1,3,34,28,6,0,90,89,24,65,"['D', 'D', 'W', 'W', 'W']"
22,4,4,2,10,34,23,4,7,73,78,39,39,"['L', 'D', 'W', 'W', 'W']"
23,4,4,3,5,34,23,3,8,72,94,45,49,"['D', 'L', 'L', 'W', 'L']"
24,4,4,4,721,34,19,8,7,65,77,39,38,"['W', 'W', 'D', 'D', 'D']"
25,4,4,5,4,34,18,9,7,63,68,43,25,"['W', 'W', 'W', 'L', 'W']"
26,4,4,6,19,34,11,14,9,47,51,50,1,"['W', 'L', 'L', 'D', 'D']"
27,4,4,7,2,34,13,7,14,46,66,66,0,"['W', 'L', 'D', 'W', 'W']"
28,4,4,8,44,34,10,12,12,42,50,55,-5,"['L', 'W', 'D', 'D', 'W']"
29,4,4,9,12,34,11,9,14,42,48,54,-6,"['W', 'W', 'D', 'D', 'W']"
30,4,4,10,17,34,11,9,14,42,45,58,-13,"['D', 'L', 'D', 'D', 'L']"
31,4,4,11,16,34,10,9,15,39,50,60,-10,"['L', 'L', 'L', 'L', 'L']"
32,4,4,12,11,34,10,7,17,37,41,56,-15,"['W', 'W', 'W', 'L', 'L']"
33,4,4,13,15,34,7,14,13,35,39,51,-12,"['D', 'D', 'D', 'W', 'W']"
34,4,4,14,18,34,7,13,14,34,56,67,-11,"['L', 'D', 'D', 'D', 'L']"
35,4,4,15,28,34,9,6,19,33,33,58,-25,"['L', 'D', 'L', 'L', 'W']"
36,4,4,16,36,34,7,12,15,33,42,74,-32,"['L', 'W', 'W', 'L', 'L']"
37,4,4,17,1,34,5,12,17,27,28,60,-32,"['L', 'D', 'D', 'W', 'L']"
38,4,4,18,55,34,3,8,23,17,30,86,-56,"['W', 'L', 'L', 'L', 'L']"
1,1,1,1,65,38,28,7,3,91,96,34,62,"['W', 'W', 'W', 'W', 'W']"
2,1,1,2,57,38,28,5,5,89,91,29,62,"['W', 'W', 'W', 'W', 'W']"
3,1,1,3,64,38,24,10,4,82,86,41,45,"['L', 'D', 'W', 'D', 'W']"
4,1,1,4,58,38,20,8,10,68,76,61,15,"['W', 'D', 'L', 'D', 'L']"
6,1,1,6,61,38,18,9,11,63,77,63,14,"['W', 'W', 'W', 'W', 'W']"
8,1,1,8,66,38,18,6,14,60,57,58,-1,"['D', 'L', 'L', 'W', 'W']"
10,1,1,10,354,38,13,10,15,49,57,58,-1,"['W', 'D', 'W', 'W', 'W']"
11,1,1,11,397,38,12,12,14,48,55,62,-7,"['L', 'W', 'D', 'L', 'L']"
13,1,1,13,63,38,13,8,17,47,55,61,-6,"['L', 'D', 'D', 'L', 'W']"
15,1,1,15,62,38,13,9,16,40,40,51,-11,"['W', 'W', 'D', 'W', 'L']"
17,1,1,17,351,38,9,9,20,32,49,67,-18,"['L', 'L', 'W', 'L', 'W']"
19,1,1,19,328,38,5,9,24,24,41,78,-37,"['W', 'D', 'L', 'L', 'L']"
41,2,2,1,108,38,29,7,2,94,89,22,67,"['W', 'L', 'W', 'D', 'D']"
42,2,2,2,98,38,22,9,7,75,76,49,27,"['D', 'D', 'W', 'L', 'D']"
44,2,2,4,102,37,21,6,10,69,70,39,31,"['W', 'W', 'W', 'W', 'W']"
46,2,2,6,100,38,18,9,11,63,65,46,19,"['D', 'D', 'L', 'W', 'L']"
48,2,2,8,99,37,16,9,12,57,58,44,14,"['W', 'L', 'W', 'D', 'W']"
50,2,2,10,113,38,13,14,11,53,55,48,7,"['D', 'D', 'L', 'D', 'D']"
52,2,2,12,5911,38,11,12,15,45,39,51,-12,"['D', 'D', 'L', 'L', 'L']"
54,2,2,14,5890,38,8,14,16,38,32,54,-22,"['D', 'D', 'L', 'L', 'D']"
55,2,2,15,115,38,6,19,13,37,37,53,-16,"['D', 'D', 'W', 'D', 'W']"
57,2,2,17,445,38,9,9,20,36,29,54,-25,"['L', 'D', 'L', 'D', 'W']"
59,2,2,19,471,38,7,9,22,30,43,75,-32,"['L', 'W', 'L', 'L', 'D']"
61,3,3,1,86,38,29,8,1,95,87,26,61,"['W', 'W', 'W', 'D', 'D']"
63,3,3,3,298,38,25,6,7,81,85,46,39,"['W', 'D', 'L', 'W', 'W']"
65,3,3,5,77,38,19,11,8,68,61,37,24,"['W', 'D', 'L', 'W', 'W']"
67,3,3,7,90,38,14,15,9,57,48,45,3,"['W', 'W', 'D', 'L', 'D']"
68,3,3,8,94,38,14,11,13,53,65,65,0,"['L', 'W', 'W', 'D', 'D']"
70,3,3,10,263,38,12,10,16,46,36,46,-10,"['W', 'D', 'L', 'W', 'D']"
72,3,3,12,82,38,10,13,15,43,42,54,-12,"['L', 'L', 'L', 'L', 'L']"
74,3,3,14,559,38,10,11,17,41,48,54,-6,"['W', 'L', 'L', 'L', 'L']"
76,3,3,16,275,38,10,10,18,40,33,47,-14,"['L', 'L', 'D', 'D', 'D']"
78,3,3,18,264,38,6,15,17,33,26,55,-29,"['L', 'W', 'W', 'D', 'L']"
79,3,3,19,267,38,3,12,23,21,43,75,-32,"['W', 'L', 'L', 'D', 'W']"
5,1,1,5,73,38,20,6,12,66,74,61,13,"['L', 'L', 'W', 'L', 'W']"
7,1,1,7,67,38,18,6,14,60,85,62,23,"['W', 'W', 'D', 'L', 'W']"
9,1,1,9,563,38,14,10,14,52,60,74,-14,"['L', 'D', 'L', 'W', 'L']"
12,1,1,12,1044,38,13,9,16,48,54,67,-13,"['W', 'W', 'L', 'L', 'L']"
14,1,1,14,76,38,13,7,18,46,50,65,-15,"['L', 'W', 'L', 'L', 'L']"
16,1,1,16,402,38,10,9,19,39,56,65,-9,"['W', 'L', 'D', 'W', 'L']"
18,1,1,18,389,38,6,8,24,26,52,85,-33,"['L', 'L', 'D', 'L', 'L']"
20,1,1,20,356,38,3,7,28,16,35,104,-69,"['L', 'L', 'L', 'L', 'L']"
43,2,2,3,109,38,19,14,5,71,54,31,23,"['D', 'D', 'D', 'D', 'W']"
45,2,2,5,103,38,18,14,6,68,54,32,22,"['D', 'D', 'W', 'D', 'L']"
47,2,2,7,110,38,18,7,13,61,49,39,10,"['W', 'D', 'W', 'D', 'D']"
49,2,2,9,586,38,13,14,11,53,36,36,0,"['L', 'D', 'W', 'W', 'L']"
51,2,2,11,107,38,12,13,13,49,45,45,0,"['W', 'D', 'W', 'L', 'W']"
53,2,2,13,450,38,9,11,18,38,38,51,-13,"['L', 'W', 'L', 'W', 'D']"
